NOM,COGNOM 1,COGNOM 2,CLASSE
1/0,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,,2ESOA
-1E+02,1.00,,2ESOB
<img src=x onerror=alert('hi') />,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,2ESOA
"""",　,,1ESOA
הָיְתָהtestالصفحات التّحول,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,,2ESOB
test⁠test‫,Œ„´‰ˇÁ¨ˆØ∏”’,NIL,2ESOA
0.00,'',,2ESOA
-1,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",,1ESOA
../../../../../../../../../../../etc/hosts,﻿,,2ESOB
 ,⁰⁴⁵,,1ESOB
-1E02,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,,2ESOA
',",./;'[]\-=",ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,2ESOA
-$1.00,NIL,,2ESOA
<svg><script>0<1>alert('XSS')</script>,1/2,"'""'",1ESOA
00˙Ɩ$-,1/0,,2ESOA
😍,,,2ESOA
-1E2,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },,1ESOB
・(￣∀￣)・:*:,`⁄€‹›ﬁﬂ‡°·‚—±,,2ESOA
Œ„´‰ˇÁ¨ˆØ∏”’,‪‪test‪,,2ESOB
울란바토르,🐵 🙈 🙉 🙊,,2ESOB
"'""'",',,1ESOB
../../../../../../../../../../../etc/hosts,1/0,,2ESOB
åß∂ƒ©˙∆˚¬…æ,1E02,,2ESOB
١٢٣,nil,,2ESOB
・(￣∀￣)・:*:,パーティーへ行かないか,,2ESOA
👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,‫test‫,,1ESOB
田中さんにあげて下さい,-1/2,,2ESOB
`⁄€‹›ﬁﬂ‡°·‚—±,1E+02,,1ESOA
-1.00,NIL,,2ESOA
١٢٣,⁰⁴⁵,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,2ESOB
999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,-1E02,,1ESOA
"<>?:""{}|_+",𠜎𠜱𠝹𠱓𠱸𠲖𠳏,,2ESOA
-1,(｡◕ ∀ ◕｡),,1ESOA
